                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                  1.979,                 1.7577,                 1.4435,                0.52819,                 0.4129,                0.33735,                0.12795,                 2.1252,                  2.432,                 1.5709,               0.007228,               0.007228,               0.007228
                     87,                 1.9676,                 1.8304,                 1.4554,                0.58792,                0.34194,                0.37731,                0.14435,                 2.1869,                 2.3673,                 1.5742,               0.007195,               0.007195,               0.007195
                     88,                  1.926,                 1.7737,                 1.4014,                0.64894,                0.36774,                0.39318,                0.14825,                 2.1522,                 2.2152,                 1.5311,               0.007162,               0.007162,               0.007162
                     89,                 2.0197,                 1.7411,                 1.4505,                0.61443,                0.36774,                0.39312,                 0.1532,                 2.1783,                  2.363,                 1.5594,               0.007129,               0.007129,               0.007129
                     90,                 2.0372,                 1.7951,                 1.4599,                0.49333,                0.35179,                0.34599,                0.12003,                 2.1484,                 2.4367,                 1.5384,               0.007096,               0.007096,               0.007096
                     91,                 2.0015,                 1.8271,                 1.4227,                 0.4768,                0.35866,                0.34607,                0.13448,                 2.1561,                 2.3815,                 1.5273,               0.007063,               0.007063,               0.007063
                     92,                 1.9668,                 1.7656,                 1.4349,                0.58678,                0.35731,                 0.3833,                0.13768,                 2.1804,                 2.3968,                 1.5475,                0.00703,                0.00703,                0.00703
                     93,                 1.9591,                 1.6526,                 1.4316,                0.45238,                 0.3871,                0.35618,                0.13558,                 2.1561,                  2.321,                 1.5482,               0.006997,               0.006997,               0.006997
                     94,                  1.912,                 1.7445,                 1.4098,                 0.5348,                0.34839,                 0.3689,                0.13819,                 2.1925,                 2.3746,                 1.5727,               0.006964,               0.006964,               0.006964
                     95,                 1.9359,                 1.6353,                 1.4148,                0.51482,                0.38065,                0.37561,                0.13552,                  2.145,                 2.2992,                  1.525,               0.006931,               0.006931,               0.006931
                     96,                 1.8722,                 1.7154,                  1.377,                0.61924,                0.37419,                0.39784,                0.14705,                 2.1357,                 2.2736,                 1.5306,               0.006898,               0.006898,               0.006898
                     97,                 1.9541,                 1.6872,                 1.4351,                0.48192,                 0.4129,                0.36341,                0.13273,                 2.1456,                 2.3977,                 1.5461,               0.006865,               0.006865,               0.006865
                     98,                 1.9684,                  1.844,                 1.4435,                 0.5258,                0.38065,                  0.347,                0.12607,                 2.1364,                 2.4083,                  1.527,               0.006832,               0.006832,               0.006832
                     99,                 1.8949,                 1.6847,                 1.3774,                0.60835,                0.36129,                0.38704,                0.14857,                 2.1441,                  2.431,                 1.5443,               0.006799,               0.006799,               0.006799
                    100,                 1.8623,                 1.6115,                 1.3516,                0.59332,                0.32944,                0.36874,                0.12732,                 2.1682,                 2.4158,                 1.5262,               0.006766,               0.006766,               0.006766
                    101,                 1.8531,                 1.5775,                 1.3656,                0.69832,                0.34194,                0.38481,                0.14697,                 2.1057,                   2.32,                 1.4963,               0.006733,               0.006733,               0.006733
                    102,                  1.862,                 1.6603,                 1.3847,                0.60365,                0.36774,                0.38427,                0.15838,                 2.1105,                 2.3618,                 1.5034,                 0.0067,                 0.0067,                 0.0067
                    103,                 1.7833,                 1.5635,                 1.3355,                0.58428,                0.38065,                0.38299,                0.14963,                 2.1199,                 2.3616,                 1.5212,               0.006667,               0.006667,               0.006667
                    104,                 1.9281,                  1.684,                 1.3987,                 0.6466,                0.36594,                0.40127,                0.15782,                 2.2072,                  2.448,                 1.5425,               0.006634,               0.006634,               0.006634
                    105,                 1.9212,                 1.7011,                   1.39,                0.64826,                0.37419,                0.38083,                0.15191,                 2.1767,                 2.3512,                 1.5267,               0.006601,               0.006601,               0.006601
                    106,                 1.8858,                 1.6594,                 1.3691,                0.53588,                0.39355,                0.39041,                0.15622,                 2.1741,                 2.3061,                 1.5488,               0.006568,               0.006568,               0.006568
                    107,                 1.8185,                 1.6523,                 1.3473,                0.70769,                0.36129,                0.41714,                 0.1666,                 2.0881,                 2.3344,                  1.505,               0.006535,               0.006535,               0.006535
                    108,                 1.8558,                 1.6277,                 1.3692,                 0.5686,                0.39355,                0.38223,                0.15524,                 2.1462,                 2.3447,                 1.5422,               0.006502,               0.006502,               0.006502
                    109,                 1.8277,                 1.5608,                 1.3565,                 0.5647,                0.35484,                  0.352,                0.13737,                 2.1201,                 2.3741,                 1.5251,               0.006469,               0.006469,               0.006469
                    110,                  1.867,                  1.613,                 1.3716,                0.48358,                0.36774,                0.33682,                0.12753,                 2.1835,                 2.3263,                 1.5681,               0.006436,               0.006436,               0.006436
                    111,                 1.8417,                 1.5737,                 1.3449,                0.55325,                0.40645,                0.40279,                0.15852,                 2.1557,                 2.1193,                 1.5333,               0.006403,               0.006403,               0.006403
                    112,                 1.8429,                 1.5713,                 1.3633,                0.60688,                0.36774,                0.37669,                0.14869,                 2.1939,                 2.2831,                 1.5495,                0.00637,                0.00637,                0.00637
                    113,                 1.8676,                 1.5684,                 1.3929,                0.48507,                0.40645,                0.37752,                0.15314,                 2.1468,                 2.3119,                 1.5538,               0.006337,               0.006337,               0.006337
